k_bind,k_unbind,k_df_block,k_cAMP_boost,Motility_Index_final,Motility_Index_max,Motility_Index_mean,Active_PKA_final,Cap_Sperm_final,Ca_High_final,cAMP_High_final,success
1e-06,0.0001,1e-06,1e-06,222.10702611424477,990.190806748691,278.52028784684063,999.4991302908346,222.82788476050735,999.4999995652292,997.7633348094952,True
1e-06,0.0001,1e-06,1e-05,222.10902583054104,990.1912620650544,278.52191793526373,999.4991347873149,222.82788806158885,999.4999995674661,997.7722987900253,True
1e-06,0.0001,1e-06,0.0001,222.12814319483087,990.1957697125183,278.53763089548863,999.4991778431536,222.82788702552966,999.4999995889974,997.8581406633302,True
1e-06,0.0001,1e-06,0.001,222.26084715887222,990.2367304510968,278.6527776117078,999.4994765042345,222.827888661582,999.4999997382924,998.4539760029448,True
1e-06,0.0001,1e-06,0.01,222.51413213383802,990.4427056302526,278.9099389753764,999.5000456433289,222.82787593713465,999.5000000228237,999.5912860970597,True
1e-06,0.0001,1e-05,1e-06,250.9703047799881,990.2505552223057,312.8541782137919,999.4992586971621,251.72022015142724,999.499999629422,998.0193474507569,True
1e-06,0.0001,1e-05,1e-05,250.97206085161446,990.2510105203153,312.85562006908106,999.4992622231144,251.7202067682023,999.4999996311868,998.0263802606028,True
1e-06,0.0001,1e-05,0.0001,250.9890949507315,990.2555179880337,312.86966366073386,999.4992961514208,251.72021359097167,999.4999996481464,998.0940578473545,True
1e-06,0.0001,1e-05,0.001,251.11155288864822,990.2964772554822,312.97568536372876,999.4995400335308,251.72021369245604,999.4999997699638,998.58078518148,True
1e-06,0.0001,1e-05,0.01,251.36816390186544,990.5024495887887,313.23381095756434,999.5000503583416,251.72021562913412,999.5000000251824,999.600717029979,True
1e-06,0.0001,0.0001,1e-06,263.0561573661939,990.6981252776251,327.52944502308856,999.499304117968,263.8182274466281,999.4999996521319,998.1099369763812,True
1e-06,0.0001,0.0001,1e-05,263.0578665053683,990.6985804310463,327.53084335168376,999.4993073288618,263.8182475803641,999.4999996537358,998.1163425558992,True
1e-06,0.0001,0.0001,0.0001,263.0741504282209,990.7030864827376,327.54427169610636,999.4993382779464,263.81824998877767,999.4999996692062,998.1780883532656,True
1e-06,0.0001,0.0001,0.001,263.1927594525933,990.7440341498374,327.64682561204614,999.4995636360738,263.81824710983557,999.4999997818566,998.6279103220237,True
1e-06,0.0001,0.0001,0.01,263.45028911806264,990.949983413103,327.90497257082603,999.5000522686347,263.8182534210832,999.5000000261394,999.6045380075709,True
1e-06,0.0001,0.001,1e-06,264.712828121306,991.6167996496407,329.5484666688084,999.4993100216502,265.4765638642113,999.4999996550843,998.1217127849824,True
1e-06,0.0001,0.001,1e-05,264.7144911209921,991.6172544484884,329.5498254449341,999.4993131925332,265.47654827645783,999.4999996566685,998.1280387015632,True
1e-06,0.0001,0.001,0.0001,264.73067390331335,991.6217570274594,329.56318067756297,999.4993437640403,265.4765467048793,999.4999996719491,998.1890325927118,True
1e-06,0.0001,0.001,0.001,264.8487870221583,991.6626762031901,329.66527382197376,999.4995667498019,265.47655678924025,999.4999997834138,998.6341270966866,True
1e-06,0.0001,0.001,0.01,265.10642572656207,991.8685644303617,329.92341015087555,999.5000525276375,265.4765655200654,999.5000000262675,999.6050560680839,True
1e-06,0.0001,0.01,1e-06,264.8848822739816,991.8180408537974,329.75824617762544,999.4993106305612,265.64879099710873,999.4999996553859,998.1229273676488,True
1e-06,0.0001,0.01,1e-05,264.88655803006395,991.8184955639199,329.7596310671436,999.4993137974014,265.6487892582274,999.4999996569707,998.1292452181505,True
1e-06,0.0001,0.01,0.0001,264.9027350999629,991.8229972337274,329.7729676799111,999.4993443300846,265.64879200714,999.4999996722319,998.1901618214035,True
1e-06,0.0001,0.01,0.001,265.02078622020633,991.86390899074,329.8750094389171,999.4995670715838,265.6487926881051,999.4999997835736,998.6347695578498,True
1e-06,0.0001,0.01,0.01,265.27842822814955,992.0697806287341,330.13313687806874,999.5000525544967,265.6487938851571,999.5000000262787,999.6051097948144,True
1e-06,0.0005623413251903491,1e-06,1e-06,547.0695163612916,990.2227793914897,556.0432029582639,999.4997943126075,548.1165583578716,999.4999998971577,999.0887902470175,True
1e-06,0.0005623413251903491,1e-06,1e-05,547.0703377647498,990.2232346981067,556.0440074664992,999.4997950592593,548.1165623372152,999.4999998975278,999.0902823395735,True
1e-06,0.0005623413251903491,1e-06,0.0001,547.0783688698755,990.227742250147,556.0519108826775,999.4998023933133,548.1165640258558,999.4999999011966,999.1049387776226,True
1e-06,0.0005623413251903491,1e-06,0.001,547.1464012781204,990.26870220784,556.1190438571086,999.4998645313176,548.1165575087155,999.499999932267,999.2291330733166,True
1e-06,0.0005623413251903491,1e-06,0.01,547.3918511798719,990.47467588335,556.3636624553293,999.5000885503324,548.1165748467199,999.5000000442749,999.6771315176144,True
1e-06,0.0005623413251903491,1e-05,1e-06,574.8478421676305,990.2823735801317,584.9384227403073,999.4998163044181,575.9227023886546,999.4999999081532,999.1327392637239,True
1e-06,0.0005623413251903491,1e-05,1e-05,574.8486387200437,990.2828288684393,584.9391981137346,999.4998169807893,575.9227208560361,999.499999908493,999.134091022781,True
1e-06,0.0005623413251903491,1e-05,0.0001,574.8562866698027,990.287336241105,584.9467188843647,999.4998236300553,575.9227191227457,999.4999999118162,999.1473801436304,True
1e-06,0.0005623413251903491,1e-05,0.001,574.9215888626735,990.3282947307288,585.0110859074772,999.4998803840701,575.922720192102,999.4999999401933,999.2608220871903,True
1e-06,0.0005623413251903491,1e-05,0.01,575.1645105323764,990.5342655652981,585.2530694247017,999.5000913968768,575.9227214145999,999.500000045698,999.682826571615,True
1e-06,0.0005623413251903491,0.0001,1e-06,585.1280939053147,990.7287047892646,595.7877907078414,999.499823914418,586.2132484667321,999.4999999119581,999.1479481382155,True
1e-06,0.0005623413251903491,0.0001,1e-05,585.1288650581067,990.7291599333049,595.7885526779529,999.4998245672655,586.2132551334947,999.4999999122864,999.1492529207411,True
1e-06,0.0005623413251903491,0.0001,0.0001,585.1363754610372,990.7336658930898,595.7959294839386,999.4998309872395,586.2132474338456,999.4999999154953,999.1620841717222,True
1e-06,0.0005623413251903491,0.0001,0.001,585.2007234786715,990.774612807984,595.8593249405035,999.499885925212,586.2132527225531,999.4999999429671,999.2718990320033,True
1e-06,0.0005623413251903491,0.0001,0.01,585.4427068840815,990.9805606154575,596.100305953027,999.5000924250352,586.2132601565903,999.5000000462124,999.6848836061137,True
1e-06,0.0005623413251903491,0.001,1e-06,586.4853780841526,991.6438915282067,597.2246774071426,999.4998248992425,587.5718917646706,999.4999999124511,999.1499163722694,True
1e-06,0.0005623413251903491,0.001,1e-05,586.4861358121148,991.6443463187258,597.2254233124008,999.4998255490632,587.5718867564217,999.4999999127766,999.151215121454,True
1e-06,0.0005623413251903491,0.001,0.0001,586.4936260003813,991.6488488161621,597.2327860349612,999.4998319396584,587.5718758757952,999.4999999159718,999.1639876885829,True
1e-06,0.0005623413251903491,0.001,0.001,586.5578565636721,991.6897673244006,597.2960482495206,999.4998866443968,587.5718881603872,999.4999999433235,999.2733367369259,True
1e-06,0.0005623413251903491,0.001,0.01,586.7997181537194,991.895654256279,597.5369037430357,999.5000925597865,587.5718989744513,999.5000000462792,999.6851532002623,True
1e-06,0.0005623413251903491,0.01,1e-06,586.6256618291447,991.8438308990084,597.3732424178495,999.4998250007724,587.7123159826973,999.4999999125009,999.1501192832059,True
1e-06,0.0005623413251903491,0.01,1e-05,586.6264226880381,991.8442856012745,597.3739908588955,999.4998256502821,587.7123142904844,999.4999999128272,999.1514174173938,True
1e-06,0.0005623413251903491,0.01,0.0001,586.6339125744212,991.8487871941551,597.3813574529205,999.4998320378508,587.7123048644263,999.4999999160223,999.1641839470839,True
1e-06,0.0005623413251903491,0.01,0.001,586.6981184995401,991.8896983214386,597.4446020696575,999.4998867185684,587.7123053340971,999.4999999433613,999.2734850028187,True
1e-06,0.0005623413251903491,0.01,0.01,586.9399675207209,992.0955687425063,597.6854427731379,999.5000925736962,587.7123165250009,999.5000000462883,999.6851810368464,True
1e-06,0.0031622776601683794,1e-06,1e-06,869.6807344871013,990.3995448809341,869.6176333183997,999.4999631851638,871.0507558300349,999.4999999815918,999.4263757557443,True
1e-06,0.0031622776601683794,1e-06,1e-05,869.681249477032,990.4000001335005,869.6181486196809,999.4999634810431,871.0507557031964,999.4999999817409,999.4269674253474,True
1e-06,0.0031622776601683794,1e-06,0.0001,869.6863428682288,990.4045071562317,869.6232423894123,999.4999664065766,871.0507557767457,999.4999999832032,999.4328176765129,True
1e-06,0.0031622776601683794,1e-06,0.001,869.7320858673776,990.4454627821692,869.6689880594015,999.4999926793121,871.0507556358472,999.4999999963394,999.485358843083,True
1e-06,0.0031622776601683794,1e-06,0.01,869.9475484637637,990.6514280987618,869.8844562154069,999.5001163938354,871.0507557410579,999.5000000581995,999.7328418686823,True
1e-06,0.0031622776601683794,1e-05,1e-06,881.5570748978905,990.4582824680232,881.5582265046187,999.4999670448342,882.9389831480814,999.499999983522,999.4340940133585,True
1e-06,0.0031622776601683794,1e-05,1e-05,881.5575833625718,990.4587377024891,881.5587342630746,999.4999673328034,882.9389834156644,999.4999999836646,999.4346698761916,True
1e-06,0.0031622776601683794,1e-05,0.0001,881.5626086862032,990.4632445479457,881.5637601521613,999.4999701805688,882.9389830774853,999.4999999850904,999.440364692553,True
1e-06,0.0031622776601683794,1e-05,0.001,881.6078060068993,990.5041987228237,881.6089574747983,999.4999957899892,882.9389829737252,999.4999999978949,999.4915800485294,True
1e-06,0.0031622776601683794,1e-05,0.01,881.8222067286014,990.7101612259328,881.8233579318334,999.5001172365882,882.9389825849372,999.5000000586186,999.7345281664984,True
